Time,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
1,-0.22860524,-4.351652,-2.282316,-2.5220623,-6.4961834,-6.3379803,-5.1407146
2,-0.19455327,-4.4211154,-2.4382057,-2.6842995,-6.4582253,-6.2629128,-5.16428
3,-0.18238002,-4.503669,-2.5305252,-2.704841,-6.520271,-6.211676,-5.172614
4,-0.17160495,-4.5632067,-2.6115477,-2.7301981,-6.6051984,-6.2438707,-5.2331285
5,-0.16245992,-4.6263285,-2.680038,-2.7566972,-6.6898046,-6.293319,-5.2972264
6,-0.15523426,-4.680626,-2.7406828,-2.7758398,-6.762657,-6.3271093,-5.3505497
7,-0.148862,-4.727964,-2.796811,-2.7943697,-6.8305025,-6.3597994,-5.403745
8,-0.14316012,-4.778902,-2.8501914,-2.8111289,-6.8912063,-6.3873005,-5.4468713
9,-0.13841467,-4.8181014,-2.8981802,-2.824938,-6.945055,-6.4098988,-5.4880238
10,-0.13413534,-4.8587446,-2.9437058,-2.8372602,-6.9974165,-6.43101,-5.52476
11,-0.12944372,-4.8999515,-2.9937015,-2.854053,-7.0513186,-6.4575686,-5.5669436
12,-0.12636317,-4.9320273,-3.0316365,-2.8617148,-7.09316,-6.474019,-5.5960894
13,-0.12293525,-4.9686384,-3.0692244,-2.875865,-7.136607,-6.4979353,-5.6268415
14,-0.11910831,-5.019499,-3.1034834,-2.8993816,-7.177702,-6.533171,-5.651335
15,-0.115707405,-5.054184,-3.1327975,-2.9243011,-7.209457,-6.56102,-5.6752777
16,-0.11267428,-5.082401,-3.15955,-2.9476352,-7.235721,-6.585331,-5.700565
17,-0.11000929,-5.1070795,-3.1861825,-2.9664545,-7.262353,-6.613916,-5.7252436
18,-0.10777644,-5.120472,-3.218619,-2.9759405,-7.285511,-6.631215,-5.749378
19,-0.10545333,-5.1327972,-3.2509623,-2.988266,-7.308579,-6.6484237,-5.774399
20,-0.103443444,-5.147389,-3.2860613,-2.9940686,-7.3339133,-6.6600857,-5.7958264
21,-0.101730004,-5.159347,-3.3190153,-2.9982142,-7.3497787,-6.664232,-5.809738
22,-0.09954042,-5.1718063,-3.3524702,-3.0106733,-7.3729806,-6.6776686,-5.8329387
23,-0.09823976,-5.176365,-3.3750951,-3.017185,-7.3853507,-6.680274,-5.846287
24,-0.096401215,-5.185269,-3.4030414,-3.0290184,-7.408902,-6.692106,-5.8708153
25,-0.09474967,-5.1933827,-3.4301982,-3.0390856,-7.428735,-6.700219,-5.8916254
26,-0.09292211,-5.2032743,-3.458644,-3.0519063,-7.4503446,-6.714017,-5.914212
27,-0.09148552,-5.2086735,-3.483087,-3.061212,-7.470392,-6.7242985,-5.936213
28,-0.089675464,-5.2185826,-3.5130153,-3.0740504,-7.4939723,-6.738114,-5.9617476
29,-0.0888351,-5.215789,-3.533171,-3.0771167,-7.5048504,-6.7411795,-5.976533
30,-0.087931074,-5.211955,-3.5532632,-3.0820718,-7.5156655,-6.7402754,-5.990276
31,-0.08768685,-5.195109,-3.5666907,-3.080851,-7.5115147,-6.7244062,-5.9949145
32,-0.08670833,-5.188271,-3.5876849,-3.087685,-7.5163956,-6.723428,-6.0085845
33,-0.08589566,-5.181599,-3.6083565,-3.0917554,-7.527302,-6.7187085,-6.0214434
34,-0.08539866,-5.1703596,-3.622996,-3.094188,-7.528758,-6.7123523,-6.0307117
35,-0.08486361,-5.1590824,-3.6385746,-3.097071,-7.5301757,-6.7040052,-6.0399423
36,-0.08430614,-5.149736,-3.6560836,-3.098955,-7.537431,-6.6995416,-6.051103
37,-0.084039606,-5.1357975,-3.6687565,-3.0986884,-7.539118,-6.6914625,-6.0606027
38,-0.083111,-5.1290097,-3.6900446,-3.1055722,-7.549907,-6.690534,-6.079205
39,-0.08245374,-5.1205397,-3.7074535,-3.109798,-7.5590158,-6.6879234,-6.0941725
40,-0.0816142,-5.1187234,-3.7268777,-3.1157947,-7.571848,-6.6890373,-6.110911
41,-0.08109882,-5.109419,-3.7402785,-3.120162,-7.573286,-6.6826625,-6.1221147
42,-0.08040482,-5.106772,-3.7561862,-3.1258156,-7.578451,-6.683922,-6.135092
43,-0.08003922,-5.096641,-3.7655861,-3.1298447,-7.5780854,-6.6776967,-6.140586
44,-0.07950464,-5.0970826,-3.7767706,-3.134193,-7.5873165,-6.6830215,-6.155676
45,-0.078665435,-5.098197,-3.7944863,-3.1411664,-7.606008,-6.691948,-6.176321
46,-0.077834785,-5.103225,-3.8107455,-3.1481485,-7.62471,-6.706742,-6.198928
47,-0.077509604,-5.1038766,-3.8206744,-3.149288,-7.632197,-6.712276,-6.2083683
48,-0.07699762,-5.1043415,-3.8323698,-3.1531708,-7.645357,-6.7234826,-6.2234807
49,-0.077021256,-5.095576,-3.8402061,-3.1497765,-7.6473336,-6.7196,-6.229364
50,-0.076276496,-5.100691,-3.85704,-3.1553795,-7.664167,-6.732527,-6.248152
51,-0.07559953,-5.1088023,-3.871012,-3.160562,-7.683021,-6.749428,-6.267006
52,-0.07544397,-5.103764,-3.877693,-3.1608946,-7.6867723,-6.751225,-6.2766156
53,-0.074383855,-5.1222353,-3.8946977,-3.1715539,-7.709149,-6.7736025,-6.29704
54,-0.074181885,-5.117151,-3.9032848,-3.1718402,-7.720666,-6.775354,-6.31051
