id,name
0,Bagha Shahi Mosque
1,City Palace
2,The Immaculate Conception Cathedral of Cubao
3,City of David
4,Noor Mahal
5,City of David
6,"Shree Muktinath Temple, Nepal"
7,Shivpuri Nagarjun National Park
8,Nankin-machi
9,Khao Sok National Park
10,Mt. Goryu
11,Milk Grotto Church
12,Gili Trawangan
13,Htukkant Thein Temple
14,Yabakei Dam
15,St. Francis of Assisi Parish Church
16,Saint Hripsime Church
17,Ranipuram
18,"St. Joseph's Church, Beijing"
19,Tower of David
20,Sandiaojiao Lighthouse
21,Ngong Ping 360
22,Chhatrapati Shivaji Terminus
23,Sea of Galilee
24,Khor Virab
25,Shanti Stupa
26,Sevanavank
27,Izmenchivoye
28,מצפה גדות
29,Autumn-Admiring Pavilion
30,Lohagad Fort
31,Humble Administrator's Garden
32,Tiananmen Square
33,Sree Thanumalayan Temple
34,Menara Kuala Lumpur
35,Lok Virsa Heritage Museum
36,Batu Caves
37,Khram Vo Imya Spasa Nerukotvornogo Obraza
38,Lin Ma Hang
39,Mount Arayat
40,Daulatabad fort
41,ارگ کریمخان
42,Stalactite Cave Nature Reserve
43,Wat Worachettharam
44,Quezon City Hall
45,Imam Reza Shrine
46,Baliati Palace
47,Minatogawa Park
48,Takht-e Soleyman
49,Vidyasagar Setu
50,Lok Virsa Heritage Museum
51,National Shrine and Parish of San Antonio de Padua
52,Avraham Garden
53,"Gate of China, Nanjing"
54,Aichi Prefectural Library
55,Rizal Memorial Baseball Stadium
56,Mount Wutai
57,Sai Ying Pun
58,Omskiy Akademicheskiy Teatr Dramy
59,JR HAKATA CITY
60,Marikina Sports Center
61,Cixiaojian Wanfang
62,Shanhua Temple
63,Nagarjuna Sagar Dam
64,Cape Inamuragasaki
65,Khram Arkhangela Mikhaila
66,Resket Tower
67,Tatevi Anapat
68,The British Consulate at Takow
69,Tomb of Ali Mardan Khan
70,Bayon Temple
71,হংসেশ্বরী মন্দির
72,Abbey Falls Madkeri Falls
73,National Shrine of Saint Anne
74,Takaneshima Island
75,Shah Mosque
76,Kintrishi Nature Reserve
77,The Beatitude Monastery
78,St George's Pilgrim Guest House
79,Shalimar Bagh
80,Futamiokitama Shrine
81,St. George's church
82,Republic Monument
83,Saif-ul-Mulook National Park
84,Hadimba Devi Temple
85,St. Jerome Parish Church
86,Gaomei Wetlands
87,Ganesha Ratha
88,Uyskiy Sobor
89,Đan Viện Châu Sơn
90,Chien-Cheng Circle
91,Porac Church
92,Purana Qila
93,Shinobazu Pond
94,臼杵城跡
95,Singapore Flyer
96,Qingjing Mosque
97,Sanya Bay
98,Tengboche Monastery
99,Tomb of Akbar the Great
100,St. James the Apostle
101,Maiden Tower
102,Warangal Fort
103,Ciyunta
104,Saint Hripsime Church
105,Komazawa Olympic Park Athletic Stadium
106,Temple of Heaven
107,Guangxiao Temple
108,The Golden Mount (Wat Saket)
109,Katas Raj Temples
110,Ikitsuki Bridge
111,Dilijan Local Lore Museum & Picture Gallery
112,Tianhou Museum
113,Ahsan Manzil Museum
114,Taichung Confucius Temple
115,Aliyar Reservoir
116,Holy Trinity Cathedral of Tbilisi
117,Aghjots Vank Աղջոց վանք
118,Mausoleum of Emperor Khai Dinh
119,Sevanavank
120,Beitou Hot Spring Museum
121,Rohtas Fort
122,Tel Qudadi
123,Telangana State Archaeology Museum
124,Noratus Cemetery
125,Sayat-Nova monument
126,Moder Gorob
127,Borujerdiha Historical House
128,Cavite Peninsula
129,"Fatih Mosque, Istanbul"
130,Bahla Fort
131,Dhakeshwari Mandir
132,Wat Ratcha Orasaram Ratchaworawihan (Chom Thong)
133,Satya Dharma Temple
134,Tatara Bridge
135,Minsk Aircraft Carrier World
136,Chocolate Hills
137,Archdiocesan Shrine of Saint Anne
138,Harichavank
139,Wat Phra Yai
140,Shinjuku i-LAND Tower
141,Mahagandhayon Monastery
142,Marco Polo Square
143,Banghwa Bridge
144,Ein Avdat National Park
145,Khorshid Palace
146,San Agustin Church
147,Hunza Valley
148,Al Khor Stadium
149,Temple of Bacchus (Roman's god of Wine)
150,Veer Mata Jijabai Bhosale Udyan And Zoo
151,Jallianwala Bagh
152,Akal Takht
153,Asian Civilisations Museum
154,Bayon Temple
155,San Miguel Arcangel Church
156,Lower Kachura Lake
157,Dawulun Fort
158,Armenian Quarter
159,Lodhi Garden
160,Damascus Gate
161,Balaoan Church
162,Gorny Monastery
163,Baiyun Temple
164,Wat Maha That
165,City of David
166,Shalimar Bagh Mughal Garden
167,Haeundae Beach
168,Our Lady of Assumption Parish Church
169,⛱Ageeba Beach⛱
170,Kazan
171,Shushtar Historical Hydraulic System
172,Purana Qila
173,Chongwu City
174,Baitul Aman Jame Masjid and Eidgah Complex
175,Higashiyama Jisho-ji
176,Seki-juku
177,Shan Bridge
178,Ozu Castle
179,Vank Cathedral
180,Momosuke Bridge
181,Martand sun temple
182,Cheonggyecheon
183,Yanfu Temple
184,Tipu Sultan Masjid Kolkata
185,Kumrat Valley
186,Dashtadem Fortress
187,Hojuzan Risshaku Temple
188,Munshi Ghat
189,Shan Bridge
190,Khosrov Forest State Reserve
191,El Goli Building
192,Chengqilou
193,Atatürk pavilion
194,Machhapuchhare
195,Itmad-ud-Daula
196,Rumelihisarı
197,Mihrimah Sultan Mosque
198,Wilayah Mosque
199,Yuejiang Tower
200,Mortuary Temple of Hatshepsut
201,Shahi Eidgah
202,Thousand Pillar Temple
203,Soltanieh Dome
204,Rohtas Fort
205,Водонапорная башня
206,Kazan
207,Ha-Rishonim ba-Negev Site
208,The Stone of Million
209,Donggung Palace and Wolji Pond
210,Potala Palace
211,Holy Trinity Cathedral of Tbilisi
212,Barasoain Church
213,Basilica Minore del Santo Niño de Cebu
214,Gubeikou
215,Our Lady of Assumption Parish Church
216,St. Bartholomew the Apostle Parish Church
217,Herod's Gate
218,中村家住宅 Nakamura Residence
219,Shamakhi Astrophysical Observatory
220,Tourism
221,India Gate
222,Tsiranavor
223,帝国生命保险台北支店
224,Akashi Kaikyo National Government Park
225,Vorotnaberd Fortress
226,Damascus National Museum
227,Givati Parking Lot dig
228,Washigatozan
229,Kwun Tong Promenade
230,Jinpukaku
231,Bateshwar Temple
232,Dargah Hazrat Shaikh Ahmed Khattu Ganj Bakhs RA
233,Diu Fort
234,Hazarduari Palace
235,Akashi-Kaikyo Bridge
236,"Kgbu ""Gosudarstvennyy Muzey Istorii Literatury, Iskusstva I Kul'tury Altaya"""
237,Hawa Mahal
238,Maritime Museum
239,Mandalay Hill
240,Immaculate Conception Parish Church - Balayan
241,Grand Mosque of Bursa
242,Faisal Mosque
243,Gol Gumbaz
244,Qutub Minar Complex
245,Shinjuku Golden Gai
246,Shalimar Bagh
247,Cupola of the Chain
248,Sannomiya
249,Golra Sharif Museum
250,Ankara Castle
251,Hauz Khas Complex
252,Kangra Fort
253,Noratus Cemetery
254,Haji Ali Dargah
255,San Luis Gonzaga Parish Church
256,Nakatsu Castle
257,All Saviors
258,Qajar Museum
259,Saint John the Baptist Parish Church
260,Omar
261,Yerevan Municipality
262,Angkor Wat
263,Damascus Gate
264,CITIC Plaza
265,Tel Aviv Port
266,Noor Mahal
267,Baoguo Temple
268,Takanosu Central Park
269,Wadi Ash Shab
270,Masjid Bandaraya Kota Kinabalu
271,Xuguo's stone paifang
272,Liaolei Residence
273,Kuthodaw Pagoda
274,Hayravank Monastery
275,Monument of St. George
276,Lok Virsa Heritage Museum
277,Thian Hock Keng Temple
278,Haifa Bay
279,Nikortsminda
280,Gndevank
281,Wat Bowon Sathan Sutthawat
282,Nahargarh Fort
283,Tel Dan Nature Reserve
284,Arako Kannon Temple
285,Mt. Minenomatsume
286,בית כנסת החורבה - Hurva Synagogue
287,Jama Masjid
288,Calcutta High Court
289,Sanbō-in
290,Huanglong
291,Sisaket Temple
292,Khosrov Forest State Reserve
293,Shoghakat Church
294,National Botanical Garden
295,Anti-Taurus Mountains
296,Putrajaya International Convention Centre
297,Dowlat Abad Garden
298,Isa Khan's Tomb
299,Tomb of Nader Shah
300,Myokenhongu Chiba Shrine
301,Saint Sargis Church
302,Amaras Monastery
303,Jal Mahal
304,Kwun Tong
305,Asahi River
306,Nuestra Señora de Gracia Church
307,Kukaldosh Madrasah
308,Masjidh Al-Sulthan Muhammad Thakurufaanu Al-Auzam
309,Shalimar Bagh
310,"Gate of China, Nanjing"
311,Mausoleum of Khoja Ahmed Yasawi
312,Workers' Party Foundation Monument
