万	萬
与	與
专	專
业	業
丛	叢
东	東
丝	絲
丢	丟
两	兩
严	嚴
丧	喪
个	個
丰	豐
临	臨
为	為
丽	麗
举	舉
么	麼
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
争	爭
亏	虧
云	雲
亘	亙
亚	亞
产	產
亩	畝
亲	親
亵	褻
亿	億
仅	僅
仆	僕
从	從
仑	侖
仓	倉
仪	儀
们	們
价	價
众	眾
优	優
会	會
伞	傘
伟	偉
传	傳
伤	傷
伦	倫
伪	偽
伫	佇
体	體
佥	僉
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侬	儂
俨	儼
俩	倆
俪	儷
俭	儉
债	債
倾	傾
偻	僂
偿	償
傥	儻
储	儲
傩	儺
儿	兒
兑	兌
兖	兗
党	黨
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
内	內
冈	岡
册	冊
写	寫
军	軍
农	農
冯	馮
冲	衝
决	決
况	況
冻	凍
净	淨
凄	悽
准	準
凉	涼
减	減
凑	湊
凛	凜
几	幾
凤	鳳
凭	憑
凯	凱
击	擊
凿	鑿
刍	芻
划	劃
刘	劉
则	則
刚	剛
创	創
删	刪
别	別
刹	剎
刽	劊
剂	劑
剐	剮
剑	劍
剥	剝
剧	劇
劝	勸
办	辦
务	務
动	動
励	勵
劲	勁
劳	勞
势	勢
勋	勳
匀	勻
匮	匱
区	區
医	醫
华	華
协	協
单	單
卖	賣
卢	盧
卤	滷
卧	臥
卫	衛
却	卻
厂	廠
厅	廳
历	歷
厉	厲
压	壓
厌	厭
厕	廁
厘	釐
厢	廂
厦	廈
厨	廚
厩	廄
厮	廝
县	縣
叁	叄
参	參
双	雙
发	發
变	變
叙	敘
叠	疊
叶	葉
号	號
叹	嘆
叽	嘰
吁	籲
后	後
吓	嚇
吕	呂
吗	嗎
吨	噸
听	聽
启	啟
吴	吳
呐	吶
呓	囈
呕	嘔
呗	唄
员	員
呛	嗆
呜	嗚
咏	詠
咙	嚨
咛	嚀
咤	吒
响	響
哑	啞
哒	噠
哔	嗶
哗	譁
哟	喲
唠	嘮
唤	喚
啓	啟
啧	嘖
啬	嗇
啮	齧
啰	囉
啸	嘯
喫	吃
喷	噴
喽	嘍
嗳	噯
嘘	噓
嘤	嚶
嘱	囑
噜	嚕
嚣	囂
团	團
园	園
囱	囪
围	圍
国	國
图	圖
圆	圓
圣	聖
场	場
坏	壞
块	塊
坚	堅
坛	壇
坝	壩
坞	塢
坟	墳
坠	墜
垄	壟
垒	壘
垦	墾
垩	堊
垫	墊
垭	埡
堑	塹
堕	墮
墙	牆
壮	壯
声	聲
壳	殼
壶	壺
处	處
备	備
复	復
够	夠
头	頭
夹	夾
夺	奪
奂	奐
奋	奮
奖	獎
奥	奧
妆	妝
妇	婦
妈	媽
妩	嫵
妪	嫗
姗	姍
姹	奼
娄	婁
娅	婭
娆	嬈
娇	嬌
娱	娛
娲	媧
娴	嫻
婴	嬰
婵	嬋
婶	嬸
嫔	嬪
嬷	嬤
孙	孫
学	學
孪	孿
宁	寧
宝	寶
实	實
宠	寵
审	審
宪	憲
宫	宮
宽	寬
宾	賓
寝	寢
对	對
寻	尋
导	導
寿	壽
将	將
尔	爾
尘	塵
尝	嘗
尧	堯
尴	尷
尸	屍
尽	盡
层	層
屉	屜
届	屆
属	屬
屡	屢
屿	嶼
岁	歲
岂	豈
岖	嶇
岗	崗
岘	峴
岚	嵐
岛	島
峡	峽
峤	嶠
峥	崢
峦	巒
崂	嶗
崭	嶄
嵘	嶸
巅	巔
巩	鞏
币	幣
帅	帥
师	師
帐	帳
帘	簾
帜	幟
带	帶
帧	幀
帮	幫
帼	幗
幂	冪
并	並
幺	么
广	廣
庄	莊
庆	慶
庐	廬
库	庫
应	應
庙	廟
庞	龐
废	廢
开	開
异	異
弃	棄
弑	弒
张	張
弥	彌
弯	彎
弹	彈
强	強
归	歸
当	當
录	錄
彦	彥
彻	徹
征	徵
径	徑
徕	徠
忆	憶
忏	懺
忧	憂
怀	懷
态	態
怂	慫
怅	悵
怆	愴
总	總
怼	懟
恋	戀
恒	恆
恳	懇
恶	惡
恸	慟
恺	愷
恻	惻
恼	惱
悦	悅
悬	懸
悯	憫
惊	驚
惧	懼
惨	慘
惩	懲
惫	憊
惬	愜
